stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2560,2560,MacArthur at Huntlee,HUNTLEE DR & MACARTHUR BLVD,29.923511,-90.004507,,,,,,0
2561,2561,MacArthur at Somerset,MACARTHUR BLVD & SOMERSET DR,29.923342,-90.001707,,,,,,0
2562,2562,MacArthur at Hudson,MACARTHUR BLVD & HUDSON PL,29.922781,-90.000129,,,,,,0
2563,2563,MacArthur at Eton,ETON ST & WIMBLEDON CT,29.922077,-89.998041,,,,,,0
2564,2564,MacArthur at Wimbledon,WIMBLEDON CT & MACARTHUR BLVD,29.921035,-89.995061,,,,,,0
2565,2565,MacArthur at Woodland,MACARTHUR BLVD & MACARTHUR BLVD,29.920521,-89.992944,,,,,,0
2566,2566,Woodland at Berkley,BERKLEY DR & ETON ST,29.918123,-89.992858,,,,,,0
2567,2567,Woodland at Brunswick,BRUNSWICK CT & WOODLAND DR,29.915247,-89.99303,,,,,,0
2568,2568,Woodland at Stratford,UNNAMED ST & STRATFORD PL,29.912705,-89.993182,,,,,,0
2569,2569,Woodland at Maple Leaf,WOODLAND DR & MAPLE LEAF DR,29.910262,-89.993397,,,,,,0
2570,2570,General DeGaulle at Woodland,GENERAL DEGAULLE DR & UNNAMED ST,29.908751,-89.994643,,,,,,0
2574,2574,Tullis at Woodland Village Apts.,TULLIS DR & UNNAMED ST,29.900683,-89.999221,,,,,,0
2578,2578,General DeGaulle at Tall Oaks,GENERAL DEGAULLE DR,29.909614,-89.995155,,,,,,0
2579,2579,General DeGaulle at Carlisle,GENERAL DEGAULLE DR,29.912917,-90.000925,,,,,,0
2580,2580,General DeGaulle at Somerset,SOMERSET DR & GENERAL DEGAULLE DR,29.914001,-90.002558,,,,,,0
2581,2581,General DeGaulle at Huntlee,HUNTLEE DR & GENERAL DEGAULLE DR,29.915361,-90.004908,,,,,,0
2582,2582,General DeGaulle at Kabel,KABEL DR & BERKLEY DR,29.917484,-90.008143,,,,,,0
2583,2583,General DeGaulle at Rue Parc Fontaine,RUE PARC FONTAINE & GENERAL DEGAULLE DR,29.918951,-90.010846,,,,,,0
2584,GdHd,General DeGaulle at Holiday,GENERAL DEGAULLE DR & HOLIDAY DR,29.920917,-90.014837,,,,,,0
2585,2585,Behrman at Memorial Park (Farside),BEHRMAN PL,29.915316,-90.017832,,,,,,0
2586,2586,Texas Drive at Memorial Park,TEXAS DR & UNNAMED ST,29.918369,-90.02041,,,,,,0
2587,2587,Memorial Park at Garden Oaks,GARDEN OAKS DR & MEMORIAL PARK DR,29.91882,-90.022433,,,,,,0
2588,2588,Garden Oaks at Jackson Landing,GARDEN OAKS DR & MEMORIAL PARK DR,29.92047,-90.022412,,,,,,0
2589,2589,Garden Oaks at Seine,GARDEN OAKS DR & SEINE DR,29.922398,-90.022454,,,,,,0
2590,2590,Garden Oaks at General DeGaulle,GARDEN OAKS DR & GENERAL DEGAULLE DR,29.924638,-90.021565,,,,,,0
2591,2591,Westbend at Westpark,WESTBEND PKY & GENERAL DEGAULLE DR,29.927384,-90.020026,,,,,,0
2592,2592,Westbend at Vespasian,WESTBEND PKY & GENERAL DEGAULLE DR,29.930197,-90.019907,,,,,,0
2593,2593,Vespasian at Cypress,CYPRESS ACRES DR & PINEWOOD CT,29.93063,-90.021837,,,,,,0
2594,2594,Vespasian at Murl,VESPASIAN BLVD & MURL ST,29.930786,-90.025332,,,,,,0
2596,2596,Vespasian at Cypress,VESPASIAN BLVD & CYPRESS ACRES DR,29.930485,-90.022002,,,,,,0
2597,2597,Westbend at General DeGaulle,WESTBEND PKY & GENERAL DEGAULLE DR,29.925386,-90.021393,,,,,,0
2598,2598,Garden Oaks at Seine,SEINE DR & GARDEN OAKS DR,29.922641,-90.02258,,,,,,0
2599,2599,Garden Oaks at Jackson Landing,GARDEN OAKS DR & GARDEN OAKS DR,29.921027,-90.022695,,,,,,0
2600,2600,Garden Oaks at Memorial Park,MEMORIAL PARK DR & GARDEN OAKS DR,29.918774,-90.02262,,,,,,0
2601,2601,Memorial Park at Texas,MEMORIAL PARK DR & TEXAS DR,29.918395,-90.020586,,,,,,0
2602,2182,Texas at Behrman Highway,TEXAS DR & BEHRMAN HWY,29.916265,-90.02131,,,,,,0
2604,2604,General DeGaulle at Park Timber,GENERAL DEGAULLE DR & PARK TIMBERS DR,29.919251,-90.012289,,,,,,0
2605,2605,General DeGaulle at Lennox,GENERAL DEGAULLE DR & LENNOX BLVD,29.916445,-90.008614,,,,,,0
2606,2606,General DeGaulle at Huntlee,GENERAL DEGAULLE DR & HUNTLEE DR,29.914809,-90.005392,,,,,,0
2607,2607,General DeGaulle at Somerset,GENERAL DEGAULLE DR & SOMERSET DR,29.913557,-90.003167,,,,,,0
2608,2608,General DeGaulle at Tall Oaks,TALL OAKS DR & INWOOD AVE,29.909329,-89.996553,,,,,,0
2613,2613,Berkley at Lancaster,BERKLEY DR & LANCASTER ST,29.917197,-89.978705,,,,,,0
2614,2614,Berkley at Blair,BLAIR ST & BERKLEY DR,29.917416,-89.980458,,,,,,0
2615,2615,Berkley at Kent,BERKLEY DR & KENT DR,29.917498,-89.982501,,,,,,0
2616,2616,Berkley at Dickens,DICKENS DR & BERKLEY DR,29.917636,-89.983921,,,,,,0
2617,2617,Berkley at Sullen,SULLEN PL & BERKLEY DR,29.917755,-89.985725,,,,,,0
2618,2618,Sullen at Fairfax,,29.915555,-89.986128,,,,,,0
2619,2619,Sullen at Maumus,MAUMUS AVE & SULLEN PL,29.914057,-89.98638,,,,,,0
2620,2620,Sullen at Stratford,STRATFORD PL & SULLEN PL,29.912542,-89.986579,,,,,,0
2621,2621,Sullen at Southwood Apts.,SULLEN PL & UNNAMED ST,29.910486,-89.986817,,,,,,0
2622,2622,Tullis Opposite Cypress Run Apts.,TULLIS DR & UNNAMED ST,29.906781,-89.989202,,,,,,0
2623,2623,Tullis at Woodland,TULLIS DR & UNNAMED ST,29.90486,-89.991813,,,,,,0
2625,2625,Woodland at MacArthur,DOVER PL & WOODLAND DR,29.920594,-89.992623,,,,,,0
2626,2626,MacArthur at Downey,DOWNEY ST & MACARTHUR BLVD,29.921447,-89.995561,,,,,,0
2627,2627,MacArthur at Eton,ETON ST & MACARTHUR BLVD,29.922232,-89.997607,,,,,,0
2628,2628,MacArthur at Hudson,MACARTHUR BLVD & HUDSON PL,29.923007,-89.99984,,,,,,0
2629,2629,MacArthur at Somerset,SOMERSET DR & BRISTOL PL,29.923569,-90.001429,,,,,,0
2630,2630,MacArthur at Huntlee,HUNTLEE DR & HERSCHEL ST,29.923818,-90.004301,,,,,,0
2632,2632,Holiday at Fiesta,FIESTA DR & HOLIDAY DR,29.929603,-90.013414,,,,,,0
2633,2633,Holiday at Copernicus,COPERNICUS ST & HOLIDAY DR,29.932226,-90.013263,,,,,,0
2636,2636,Atlantic at Lamarque,LAMARQUE ST & ATLANTIC AVE,29.942269,-90.045729,,,,,,0
2637,2637,Lamarque at Elmira,LAMARQUE ST & ELMIRA AVE,29.942378,-90.047378,,,,,,0
2638,2321,Lamarque at Vallette,LAMARQUE ST & LA-428,29.942459,-90.049525,,,,,,0
2641,2641,Bringier at Teche,TECHE ST & LAWRENCE ST,29.938465,-90.051637,,,,,,0
2642,2642,Teche at Ptolemy,TECHE ST & PARK BLVD,29.940114,-90.051771,,,,,,0
2646,2646,Teche at Opelousas,OPELOUSAS AVE & UNNAMED ST,29.948485,-90.052226,,,,,,0
2647,2647,Opelousas at Verret,OPELOUSAS AVE & SEGUIN ST,29.948556,-90.050588,,,,,,0
2648,2648,Opelousas at Vallette,OPELOUSAS AVE & OLIVIER ST,29.948571,-90.049261,,,,,,0
2649,2649,Teche at Mardi Gras,MARDI GRAS BLVD & TECHE ST,29.938266,-90.05177,,,,,,0
2650,2650,Atlantic at Eliza,ELMIRA AVE & EVELINA ST,29.950718,-90.046848,,,,,,0
2651,2651,Atlantic at Pelican,ELMIRA AVE & PELICAN AVE,29.953116,-90.046696,,,,,,0
2652,2652,Atlantic at Patterson,ELMIRA AVE & PATTERSON DR,29.954883,-90.046583,,,,,,0
2653,2653,Morgan at Bermuda,MORGAN ST & BERMUDA ST,29.954274,-90.053661,,,,,,0
2655,2655,Bouny at Alix,BOUNY ST & ALIX ST,29.950461,-90.05368,,,,,,0
2656,2656,Bouny at Opelousas,OPELOUSAS AVE & EVELINA ST,29.948737,-90.052321,,,,,,0
2657,2657,Teche at Homer,HOMER ST & NUNEZ ST,29.946557,-90.052163,,,,,,0
2658,2658,Teche at Diana,DIANA ST & NUNEZ ST,29.944448,-90.052046,,,,,,0
2659,2659,Teche at Lamarque,LAMARQUE ST & NUNEZ ST,29.942348,-90.051961,,,,,,0
2660,2660,Teche at Ptolemy,TECHE ST & PTOLEMY ST,29.940185,-90.051937,,,,,,0
2664,2664,Newton at Elmira,NEWTON ST & BELLEVILLE ST,29.94538,-90.047376,,,,,,0
2665,2665,Newton at Atlantic,ATLANTIC AVE & NEWTON ST,29.945298,-90.045467,,,,,,0
2666,2666,Newton at Thayer,NEWTON ST & ATLANTIC AVE,29.945182,-90.043227,,,,,,0
2667,2167,Holiday at Wall,WALL BLVD & HOLIDAY DR,29.933487,-90.013519,,,,,,0
2668,2168,Holiday at Fiesta,HOLIDAY DR & FIESTA DR,29.929799,-90.013788,,,,,,0
2671,26713,Tullis at Cypress Run Apts.,TULLIS DR & WOODLAND HWY,29.906122,-89.989457,,,,,,0
2672,2672,Sullen at Fields,FIELDS ST & SULLEN PL,29.908007,-89.98699,,,,,,0
2673,2673,Sullen at Southwoods Apts.,UNNAMED ST & SULLEN PL,29.910298,-89.986567,,,,,,0
2674,2674,Sullen at Stratford,SULLEN PL & PEONY ST,29.912462,-89.986392,,,,,,0
2675,2675,Sullen at Maumus,MAUMUS AVE & SULLEN PL,29.913869,-89.986202,,,,,,0
2676,2676,Sullen at Dickens,DICKENS DR & FAIRFAX PL,29.915402,-89.985993,,,,,,0
2677,2677,Sullen at Berkley,SULLEN PL & KINGSTON CT,29.917629,-89.985745,,,,,,0
2678,2678,Sullen at Ivory,SULLEN PL & NEIL AVE,29.919406,-89.985527,,,,,,0
2679,2679,Sullen at Oxford,SULLEN PL & RHODES AVE,29.922201,-89.985199,,,,,,0
2680,2680,Sullen at General Meyer,GENERAL MEYER AVE & SULLEN PL,29.923752,-89.985073,,,,,,0
2681,2681,Bennett at Perrin,BENNETT ST & PERRIN ST,29.918375,-89.97724,,,,,,0
2683,1139,Williams at 43rd St.,43RD ST & FLORIDA AVE,30.034449,-90.238284,,,,,,0
2684,1140,Williams at 42nd St.,42ND ST & FLORIDA AVE,30.032664,-90.238446,,,,,,0
2685,1057,Williams at Vintage,VINTAGE DR & UNNAMED ST,30.031023,-90.238598,,,,,,0
2686,1058,Williams at 39th St.,39TH ST & FLORIDA AVE,30.027048,-90.238866,,,,,,0
2687,1059,Williams at 38th St.,38TH ST & FLORIDA AVE,30.025262,-90.239007,,,,,,0
2688,1060,Williams at 37th St.,37TH ST & FLORIDA AVE,30.023477,-90.239189,,,,,,0
2689,1061,Williams at W. Esplanade,W ESPLANADE AVE & UNNAMED ST,30.019988,-90.239502,,,,,,0
2690,1062,W. Esplanade at Delaware,DELAWARE AVE & 36TH ST,30.020067,-90.241257,,,,,,0
2691,1141,W. Esplanade at California,CALIFORNIA AVE & 36TH ST,30.020301,-90.244175,,,,,,0
2692,1064,W. Esplanade at Arizona,ARIZONA AVE & 36TH ST,30.020361,-90.246085,,,,,,0
2694,1067,W. Esplanade at Antoine,ANTOINE WATTIGNY BLVD. & UNNAMED ST,30.020934,-90.253583,,,,,,0
2695,1068,W. Esplanade at Chateau,CHATEAU BLVD & W ESPLANADE AVE,30.021245,-90.255806,,,,,,0
2696,1069,W. Esplanade at Holly Heights Dr,HOLLY  HEIGHT DR. & HOLLY HEIGHTS DR,30.022009,-90.258895,,,,,,0
2697,1070,W. Esplanade at Continental,CONTINENTAL DR. & CONTINENTAL DR,30.022574,-90.262117,,,,,,0
2698,1071,W. Esplanade at Ole Miss,OLE MISS DR & W ESPLANADE AVE,30.022664,-90.263415,,,,,,0
2699,1072,W. Esplanade at E. Loyola,EAST LOYOLA DR. & E LOYOLA DR,30.022778,-90.265243,,,,,,0
2700,1073,E. Loyola at Oglethorpe,E OGLETHROPE PL. & E OGLTHORPE PL,30.025529,-90.264935,,,,,,0
2701,1074,E. Loyola at E. Purdue,E PURDUE PL. & E PURDUE PL,30.028423,-90.264669,,,,,,0
2702,1075,E. Loyola at E. Rice,E RICE PL & E LOYOLA DR,30.031326,-90.264455,,,,,,0
2703,1076,E. Loyola at Vintage,VINTAGE DR. & VINTAGE DR,30.034275,-90.264128,,,,,,0
2704,1077,E. Loyola at E. Standford,E STANFORD PL & E LOYOLA DR,30.037259,-90.263915,,,,,,0
